2014-07-22 22:50:53 status unpacked libnih1:arm64 1.0.3-4ubuntu25
2014-07-22 22:50:53 install libpam-modules:arm64 <none> 1.1.8-1ubuntu2
2014-07-22 22:50:53 status half-installed libpam-modules:arm64 1.1.8-1ubuntu2
2014-07-22 22:50:54 status unpacked libpam-modules:arm64 1.1.8-1ubuntu2
2014-07-22 22:50:54 status unpacked libpam-modules:arm64 1.1.8-1ubuntu2
2014-07-22 22:50:54 install libpam-modules-bin:arm64 <none> 1.1.8-1ubuntu2
2014-07-22 22:50:54 status half-installed libpam-modules-bin:arm64 1.1.8-1ubuntu2
2014-07-22 22:50:54 status unpacked libpam-modules-bin:arm64 1.1.8-1ubuntu2
2014-07-22 22:50:54 status unpacked libpam-modules-bin:arm64 1.1.8-1ubuntu2
2014-07-22 22:50:54 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2014-07-22 22:50:54 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2014-07-22 22:50:55 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-07-22 22:50:55 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-07-22 22:50:55 install libpam0g:arm64 <none> 1.1.8-1ubuntu2
2014-07-22 22:50:55 status half-installed libpam0g:arm64 1.1.8-1ubuntu2
2014-07-22 22:50:55 status unpacked libpam0g:arm64 1.1.8-1ubuntu2
2014-07-22 22:50:55 status unpacked libpam0g:arm64 1.1.8-1ubuntu2
2014-07-22 22:50:55 install libpcre3:arm64 <none> 1:8.31-2ubuntu2
2014-07-22 22:50:55 status half-installed libpcre3:arm64 1:8.31-2ubuntu2
2014-07-22 22:50:55 status unpacked libpcre3:arm64 1:8.31-2ubuntu2
2014-07-22 22:50:56 status unpacked libpcre3:arm64 1:8.31-2ubuntu2
2014-07-22 22:50:56 install libplymouth2:arm64 <none> 0.8.8-0ubuntu17
2014-07-22 22:50:56 status half-installed libplymouth2:arm64 0.8.8-0ubuntu17
2014-07-22 22:50:56 status unpacked libplymouth2:arm64 0.8.8-0ubuntu17
2014-07-22 22:50:56 status unpacked libplymouth2:arm64 0.8.8-0ubuntu17
2014-07-22 22:50:56 install libpng12-0:arm64 <none> 1.2.50-1ubuntu2
2014-07-22 22:50:56 status half-installed libpng12-0:arm64 1.2.50-1ubuntu2
2014-07-22 22:50:56 status unpacked libpng12-0:arm64 1.2.50-1ubuntu2
2014-07-22 22:50:57 status unpacked libpng12-0:arm64 1.2.50-1ubuntu2
2014-07-22 22:50:57 install libprocps3:arm64 <none> 1:3.3.9-1ubuntu2
2014-07-22 22:50:57 status half-installed libprocps3:arm64 1:3.3.9-1ubuntu2
2014-07-22 22:50:57 status unpacked libprocps3:arm64 1:3.3.9-1ubuntu2
2014-07-22 22:50:57 status unpacked libprocps3:arm64 1:3.3.9-1ubuntu2
2014-07-22 22:50:57 install libselinux1:arm64 <none> 2.2.2-1
2014-07-22 22:50:57 status half-installed libselinux1:arm64 2.2.2-1
2014-07-22 22:50:57 status unpacked libselinux1:arm64 2.2.2-1
2014-07-22 22:50:57 status unpacked libselinux1:arm64 2.2.2-1
2014-07-22 22:50:58 install libsemanage-common:all <none> 2.2-1
2014-07-22 22:50:58 status half-installed libsemanage-common:all 2.2-1
2014-07-22 22:50:58 status unpacked libsemanage-common:all 2.2-1
2014-07-22 22:50:58 status unpacked libsemanage-common:all 2.2-1
2014-07-22 22:50:58 install libsemanage1:arm64 <none> 2.2-1
2014-07-22 22:50:58 status half-installed libsemanage1:arm64 2.2-1
2014-07-22 22:50:58 status unpacked libsemanage1:arm64 2.2-1
2014-07-22 22:50:58 status unpacked libsemanage1:arm64 2.2-1
2014-07-22 22:50:59 install libsepol1:arm64 <none> 2.2-1
2014-07-22 22:50:59 status half-installed libsepol1:arm64 2.2-1
2014-07-22 22:50:59 status unpacked libsepol1:arm64 2.2-1
2014-07-22 22:50:59 status unpacked libsepol1:arm64 2.2-1
2014-07-22 22:50:59 install libslang2:arm64 <none> 2.2.4-15ubuntu1
2014-07-22 22:50:59 status half-installed libslang2:arm64 2.2.4-15ubuntu1
2014-07-22 22:50:59 status unpacked libslang2:arm64 2.2.4-15ubuntu1
2014-07-22 22:50:59 status unpacked libslang2:arm64 2.2.4-15ubuntu1
2014-07-22 22:51:00 install libss2:arm64 <none> 1.42.9-3ubuntu1
